,00display cabinet,01bathtub,02bed,03oven and stove,04toilet,05bathroom cabinet,06bed,07towel,08oven and stove,09box,10display cabinet,11towel,12cabinet,13washing machine,14wardrobe,15bathroom towel,16bed,17washing machine,18bathroom towel,19table
img0044,0.510443389415741,0.69486403465271,0.4310917854309082,0.7471591234207153,0.4384649395942688,0.7942807674407959,0.7156339883804321,0.7304849028587341,0.37930959463119507,-0.007784740068018436,0.7442790865898132,0.6308797597885132,0.5937037467956543,0.47302648425102234,0.5803391337394714,0.4818331003189087,0.4287228286266327,0.4852431118488312,0.06975165754556656,0.4163774847984314
img0045,0.5723653435707092,0.7234732508659363,0.4215600788593292,0.45328471064567566,0.4428773820400238,0.727382481098175,0.27871835231781006,0.6114475131034851,0.3692414164543152,0.4548574984073639,0.7425923943519592,0.6679270267486572,0.600663959980011,0.5283910632133484,0.5882195234298706,0.49188268184661865,0.4572121202945709,0.5449115633964539,0.49188268184661865,0.3642248213291168
img0046,0.6311062574386597,0.4707286059856415,0.37806475162506104,0.5063124895095825,0.5084092020988464,0.7130030393600464,0.3916776776313782,0.6046799421310425,0.45468729734420776,0.5439052581787109,0.7988035678863525,0.65852952003479,0.586073637008667,0.5870798826217651,0.6613113284111023,0.6225401163101196,0.4223244786262512,0.5962260961532593,0.6225401163101196,0.39373379945755005
img0047,0.6153485178947449,0.4452003538608551,0.393341064453125,0.5100958347320557,0.5007909536361694,0.712711751461029,0.3741858899593353,0.6044477224349976,0.4414001703262329,0.48265522718429565,0.7936486005783081,0.6406693458557129,0.5907748341560364,0.5561460852622986,0.6552278399467468,0.5651891231536865,0.4241434335708618,0.5678580403327942,0.5651891231536865,0.39791780710220337
img0048,0.6479646563529968,0.4627852439880371,0.40064436197280884,0.5372197031974792,0.5021480917930603,0.7161266207695007,0.41070473194122314,0.6263270378112793,0.4663851857185364,0.1946989893913269,0.8386439681053162,0.8530638813972473,0.6543304920196533,0.05057975649833679,0.7108474373817444,0.607147216796875,0.42981815338134766,0.5895940661430359,0.607147216796875,0.4292631149291992
img0049,0.6493077278137207,0.5050886869430542,0.38380196690559387,0.8007785081863403,0.53877854347229,0.8847995400428772,0.718319296836853,0.7242071032524109,0.4678567051887512,0.41689053177833557,0.8557913899421692,0.8871238827705383,0.6810194849967957,0.7243894338607788,0.7279158234596252,0.6305055618286133,0.39536288380622864,0.5957629084587097,0.6305055618286133,0.4249671399593353
img0050,0.5587214231491089,0.3910437524318695,0.43522921204566956,0.3482384979724884,0.09416668862104416,0.2861189842224121,0.4308227598667145,0.3801051080226898,0.13224667310714722,0.10272300988435745,0.2640089690685272,0.31918156147003174,0.2608802318572998,0.30570051074028015,0.1779206246137619,0.08158170431852341,0.6109084486961365,0.33611854910850525,0.08158185333013535,0.06425056606531143
img0051,0.4462714195251465,0.6451809406280518,0.5166177749633789,0.6364601850509644,0.35821548104286194,0.6685802340507507,0.6991283297538757,0.6897005438804626,0.33698558807373047,0.31724992394447327,0.6487138271331787,0.7050431966781616,0.590474009513855,0.4243943393230438,0.5608358383178711,0.465411901473999,0.40779364109039307,0.41732296347618103,0.465411901473999,0.4063335359096527
img0052,0.6067675352096558,0.7697260975837708,0.3516961634159088,0.7690974473953247,0.5711355209350586,0.7846238613128662,0.7241024971008301,0.7071118354797363,0.476559042930603,0.4067176282405853,0.7994870543479919,0.19600343704223633,0.589920699596405,0.42253074049949646,0.561629056930542,0.47346505522727966,0.42130619287490845,0.4178997576236725,0.47346505522727966,0.4275583028793335
img0053,0.5996848344802856,0.4435494840145111,0.4153405725955963,0.4539177119731903,0.4308890104293823,0.6893310546875,0.28757286071777344,0.5772949457168579,0.1263296753168106,0.18254278600215912,0.4334852397441864,0.4935894310474396,0.3494112491607666,0.45853692293167114,0.3194867968559265,0.17651943862438202,0.666965663433075,0.507046639919281,0.17651943862438202,0.15768392384052277
img0054,0.5324300527572632,0.6954173445701599,0.07156818360090256,0.4441332519054413,0.48936253786087036,0.7118143439292908,0.3166777193546295,0.5800961256027222,0.3539937734603882,0.46587857604026794,0.7815307378768921,0.07647068798542023,0.6168336868286133,0.650246262550354,0.6782956719398499,0.45871782302856445,0.6637774705886841,0.6876420974731445,0.007312507834285498,0.3947494328022003
img0055,0.5921504497528076,0.42205092310905457,0.407565712928772,0.4325770139694214,0.39461061358451843,0.8724783062934875,0.7280591726303101,0.736395001411438,0.4938555061817169,0.442345529794693,0.8570899367332458,0.8783463835716248,0.6837990880012512,0.7050248980522156,0.7398831248283386,0.532923698425293,0.6446188688278198,0.5201717019081116,0.584149956703186,0.38789525628089905
img0056,0.6217430233955383,0.47929832339286804,0.4406070113182068,0.505338728427887,0.5754619836807251,0.7331933975219727,0.3511284589767456,0.6274678111076355,0.41000574827194214,0.47292694449424744,0.8269623517990112,0.6979568004608154,0.600347638130188,0.17796768248081207,0.19518281519412994,0.1030120998620987,0.5498202443122864,0.5728606581687927,0.5786396265029907,0.40678852796554565
img0057,0.6903262138366699,0.5509496927261353,0.31803926825523376,0.8074878454208374,0.5135001540184021,0.8951368927955627,0.29104283452033997,0.6599097847938538,0.48556482791900635,0.4956902861595154,0.6845420598983765,0.08940240740776062,0.6439313888549805,0.7184212803840637,0.7420558929443359,0.6340007185935974,0.3611307144165039,0.6224088668823242,0.6340007185935974,0.39452219009399414
